time,close,high,low,open,time,volume
2017-12-31T16:00:00Z,13660.0,13860.0,13246.5,13277.83,2017-12-31T16:00:00Z,616.0206150000001
2017-12-31T16:30:00Z,13836.0,14030.0,13640.1,13650.0,2017-12-31T16:30:00Z,525.938039
2017-12-31T17:00:00Z,13786.99,13850.0,13641.01,13831.01,2017-12-31T17:00:00Z,440.402799
2017-12-31T17:30:00Z,13762.99,13924.6,13730.0,13799.77,2017-12-31T17:30:00Z,253.40314300000003
2017-12-31T18:00:00Z,13813.06,13950.0,13762.99,13776.02,2017-12-31T18:00:00Z,198.20360199999996
2017-12-31T18:30:00Z,13737.1,13844.0,13700.0,13794.55,2017-12-31T18:30:00Z,146.988893
2017-12-31T19:00:00Z,13773.99,13875.0,13739.59,13745.0,2017-12-31T19:00:00Z,174.83723699999996
2017-12-31T19:30:00Z,13780.16,13820.78,13700.0,13773.99,2017-12-31T19:30:00Z,103.20430499999999
2017-12-31T20:00:00Z,13915.75,13960.0,13780.13,13783.09,2017-12-31T20:00:00Z,160.84547499999996
2017-12-31T20:30:00Z,13971.95,14050.11,13891.2,13915.75,2017-12-31T20:30:00Z,187.05685900000006
2017-12-31T21:00:00Z,13920.03,13976.3,13901.0,13971.95,2017-12-31T21:00:00Z,146.060244
2017-12-31T21:30:00Z,13940.99,14005.0,13900.01,13967.26,2017-12-31T21:30:00Z,93.72421800000001
2017-12-31T22:00:00Z,13898.98,14012.0,13869.14,13930.0,2017-12-31T22:00:00Z,130.51767499999997
2017-12-31T22:30:00Z,13820.5,13978.98,13782.0,13899.0,2017-12-31T22:30:00Z,155.766546
2017-12-31T23:00:00Z,13724.0,13829.99,13645.03,13829.97,2017-12-31T23:00:00Z,146.32249000000002
2017-12-31T23:30:00Z,13716.36,13818.64,13651.0,13721.05,2017-12-31T23:30:00Z,100.130616
2018-01-01T00:00:00Z,13521.12,13715.65,13400.01,13715.65,2018-01-01T00:00:00Z,221.752443
2018-01-01T00:30:00Z,13529.01,13690.87,13450.0,13500.0,2018-01-01T00:30:00Z,221.60375600000003
2018-01-01T01:00:00Z,13560.0,13595.89,13402.28,13528.99,2018-01-01T01:00:00Z,160.39929099999998
2018-01-01T01:30:00Z,13203.06,13559.99,13155.38,13559.99,2018-01-01T01:30:00Z,223.29771499999995
2018-01-01T02:00:00Z,13225.0,13411.76,13202.03,13203.0,2018-01-01T02:00:00Z,203.728509
2018-01-01T02:30:00Z,13330.18,13418.43,13200.0,13247.8,2018-01-01T02:30:00Z,225.33606300000002
2018-01-01T03:00:00Z,13562.37,13611.27,13290.0,13330.26,2018-01-01T03:00:00Z,201.29281999999998
2018-01-01T03:30:00Z,13410.03,13611.01,13400.0,13562.37,2018-01-01T03:30:00Z,218.79421
2018-01-01T04:00:00Z,13430.0,13483.07,13322.15,13434.98,2018-01-01T04:00:00Z,165.32277000000005
2018-01-01T04:30:00Z,13601.01,13623.29,13401.94,13429.99,2018-01-01T04:30:00Z,175.48455900000002
2018-01-01T05:00:00Z,13618.51,13699.0,13532.57,13615.2,2018-01-01T05:00:00Z,289.43880399999995
2018-01-01T05:30:00Z,13558.99,13629.0,13526.5,13618.51,2018-01-01T05:30:00Z,114.79024199999998
2018-01-01T06:00:00Z,13687.76,13701.13,13510.0,13539.0,2018-01-01T06:00:00Z,157.96676300000004
2018-01-01T06:30:00Z,13780.41,13800.0,13620.01,13687.76,2018-01-01T06:30:00Z,107.02292100000003
2018-01-01T07:00:00Z,13698.0,13818.55,13600.0,13780.0,2018-01-01T07:00:00Z,158.491639
2018-01-01T07:30:00Z,13570.35,13775.0,13555.02,13698.0,2018-01-01T07:30:00Z,133.69713799999997
2018-01-01T08:00:00Z,13632.89,13735.24,13520.0,13569.98,2018-01-01T08:00:00Z,117.44258
2018-01-01T08:30:00Z,13499.99,13649.96,13400.0,13614.33,2018-01-01T08:30:00Z,154.370973
2018-01-01T09:00:00Z,13549.77,13650.0,13459.11,13499.97,2018-01-01T09:00:00Z,111.40764200000001
2018-01-01T09:30:00Z,13616.99,13670.0,13510.01,13531.82,2018-01-01T09:30:00Z,101.688187
2018-01-01T10:00:00Z,13549.03,13657.92,13497.98,13632.0,2018-01-01T10:00:00Z,97.95297599999998
2018-01-01T10:30:00Z,13570.01,13603.77,13515.12,13548.35,2018-01-01T10:30:00Z,71.55922
2018-01-01T11:00:00Z,13079.98,13589.89,13023.8,13573.0,2018-01-01T11:00:00Z,402.753918
2018-01-01T11:30:00Z,13220.56,13225.32,13001.13,13050.02,2018-01-01T11:30:00Z,262.58043499999997
2018-01-01T12:00:00Z,13146.15,13300.0,13056.23,13220.56,2018-01-01T12:00:00Z,138.76367699999997
2018-01-01T12:30:00Z,13172.42,13245.55,13117.72,13146.81,2018-01-01T12:30:00Z,121.72903099999998
2018-01-01T13:00:00Z,12977.16,13200.41,12815.7,13150.05,2018-01-01T13:00:00Z,287.40424399999995
2018-01-01T13:30:00Z,13017.0,13104.79,12921.72,12977.16,2018-01-01T13:30:00Z,164.49688199999997
2018-01-01T14:00:00Z,12927.0,13245.0,12750.0,12999.71,2018-01-01T14:00:00Z,394.2461189999999
2018-01-01T14:30:00Z,13211.39,13245.0,12833.04,12927.01,2018-01-01T14:30:00Z,298.22124299999996
2018-01-01T15:00:00Z,13312.79,13330.0,13120.38,13211.39,2018-01-01T15:00:00Z,222.67418499999994
2018-01-01T15:30:00Z,13247.0,13320.0,13220.0,13312.79,2018-01-01T15:30:00Z,204.39777199999997
2018-01-01T16:00:00Z,13066.06,13247.08,13020.01,13247.0,2018-01-01T16:00:00Z,189.08547199999998
2018-01-01T16:30:00Z,13018.0,13200.0,12966.42,13066.1,2018-01-01T16:30:00Z,178.308094
2018-01-01T17:00:00Z,13140.0,13198.98,13000.0,13018.0,2018-01-01T17:00:00Z,125.88651700000001
2018-01-01T17:30:00Z,13022.0,13165.99,13000.0,13149.0,2018-01-01T17:30:00Z,102.68551099999998
2018-01-01T18:00:00Z,13180.09,13256.28,12940.0,13007.87,2018-01-01T18:00:00Z,145.039913
2018-01-01T18:30:00Z,13135.0,13211.17,13100.95,13180.18,2018-01-01T18:30:00Z,99.32684200000003
2018-01-01T19:00:00Z,13200.0,13238.0,13106.61,13135.0,2018-01-01T19:00:00Z,114.570013
